#URL https://www.youtube.com/playlist?list=PLta2gH1s4UVTHEtB5KyebNXmzxocbEiZ2
Kc7gLRbC93U|2453|20200925|BOLI ME PIPI, ali trebaju li (digitalne) tvrtke imati stav?! | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
QRsRETiSNtk|2775|20200925|TKO JE TKO u hrvatskoj digitalnoj industriji u 2020? Slavimo 50. epizodu! | #NETOKRACIJAPO|Netokracija Hrvatska|Netokracija
gGqDStBF_qY|3562|20210925|Digitalna EUROPSKA UNIJA, AI I HRVATSKE TVRTKE (gošća Hajdi Ćenan) | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
WAu1KXyizTE|2880|20210925|NANOBIT je uspio! Zašto onda mrzimo CASUAL IGRE?! | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
jaJana2flaM|2820|20210925|KAKO NAPRAVITI BLOG za zaradu, karijeru ili gušt! | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
PQuJTNpZxH4|3038|20210925|RAD NA DALJINU u Hrvatskoj: Karijerni savjeti (ft. Luka Kladarić, Marin Šarić) | #NETOKRAC|Netokracija Hrvatska|Netokracija
t11SkIKui94|1765|20210925|STARTUP INVESTICIJE: Savjeti investitora koji je uložio u 414 startupa! | #NETOKRACIJAPODC|Netokracija Hrvatska|Netokracija
w-o6mY2uTFc|NA|NA|NA|Netokracija Hrvatska|NA
UBFRyBZuQzY|3840|20210925|DR. NATKO BECK: Naš zdravstveni sustav loše komunicira! | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
QFmlKRUGTcc|2045|20210925|MARIN MEDAK o dostavi, Rougemarin Doma i budućnosti restorana | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
gUHC0GIFSiE|2035|20210925|Black Friday u Hrvatskoj: NAJVEĆE GREŠKE domaćih trgovaca! | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
k6hxWOvQbZc|1936|20210925|NOVI ZAKON O RADU (NA DALJINU) definirat će kako radimo od doma | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
XsTK8kI1YRY|2318|20210925|Matija Žulj, Agrivi: Od plantaže borovnica do 30,2 MILIJUNA KUNA investicije | #NETOKRACIJ|Netokracija Hrvatska|Netokracija
or2PXBuCBLM|2732|20210925|MICROBLINK INTERVJU: Damir Sabol, Izet Ždralović i Jurica Cerovec | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
Pmrholb-OOY|2987|20210925|PROMJENA KARIJERE i kako ostati mentalno i tjelesno zdrav (Ivica Srakočić) | #NETOKRACIJAP|Netokracija Hrvatska|Netokracija
WlZYuSyMjKk|1711|20210925|IT TRENDOVI ZA 2021: Novi startupi, glasovne društvene mreže i blockhain | #NETOKRACIJAPOD|Netokracija Hrvatska|Netokracija
jOWkg2jBBDY|NA|NA|NA|Netokracija Hrvatska|NA
3iDw_mXK9ek|2287|20210925|NAJVEĆI KOMUNIKACIJSKI FAILOVI: Od hrvatske Vlade do "deplatformacije" Trumpa | #NETOKRACI|Netokracija Hrvatska|Netokracija
x6p65jJSG2k|1899|20210925|YELLO.HR: Isprobali smo hrvatski 'meal kit' - isplati li se? | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
l5C_ohy0r68|2705|20210925|MARKETING U TEHNOLOŠKIM TVRTKAMA, i kako surađivati s developerima | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
Yi3hbqLQcOc|2196|20210925|Orqa: RIMČEVIM POUČKOM od agencije do hit proizvoda! | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
-bI3NYOjN58|3079|20210925|NEOSTAR: Kako kupiti ili prodati auto putem interneta u Hrvatskoj | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
hS_Y1in0aJg|2189|20210925|CLUBHOUSE U HRVATSKOJ: Naša najbolja, najgora i 'cringey' iskustva | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
oNFJdeRFNtI|2409|20210925|CLUBHOUSE MARKETING za brendove i influencere | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
zUqnwMN3h0Q|2768|20210925|Digitalne vještine za TVOJU DIGITALNU KARIJERU u 2021. | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
78jieobJHK8|3389|20210925|VIKTOR MAROHNIĆ: Od ‘Twittera za konje' do 'exita' vrijednog 250 milijuna kuna | #NETOKRAC|Netokracija Hrvatska|Netokracija
-vD3YtV2G-Y|2780|20210925|DAMIR SABOL: Nije 'hustler', ali je osigurao 80+ milijuna dolara investicije | #NETOKRACIJ|Netokracija Hrvatska|Netokracija
GCf2dwPQc-8|2145|20210925|Kako organizirati NAGRADNU IGRU na društvenim mrežama | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
41as3_vLEOg|2151|20210925|Dobili ste NEGATIVAN KOMENTAR... Što sad? | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
qIVLKbi4tnU|1533|20210925|Izabel Jelenić i Ivan Burazin: Što je 'DEVREL' i zašto je ključan za Infobip? | #NETOKRACI|Netokracija Hrvatska|Netokracija
MW6R0rkdBVY|2469|20210925|Lidija Karaga: ANALITIKA vam malo vrijedi ako naučeno nećete PRIMIJENITI! | #NETOKRACIJAPO|Netokracija Hrvatska|Netokracija
fyzUzYdPElQ|2678|20210925|Nogometne Ikone: EURO 2020, pub kvizovi i online zajednica | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
82jSvSXV1cY|1911|20210925|"Vodič kroz pandemiju za agencijaše" ft. Vedran Tolić, Q agency | #NETOKRACIJAPODCAST|Netokracija Hrvatska|Netokracija
Xaa2D9zQrlg|1958|20210925|Kako angažirati zaposlenike za interne kampanje - Combis ft. Varionica | #NETOKRACIJAPODCA|Netokracija Hrvatska|Netokracija
AhMXpAOyVIk|2726|20210925|Što je Radnička fronta vidjela u Gamechucku ft. Aleksandar Gavrilović | #NETOKRACIJAPODCAS|Netokracija Hrvatska|Netokracija
